Indi; Thu Mar 27 10:50:29 GMT 2014; 51.5271 N  0.1049 W; City Law School; AREA; 27; BLUE; 17; 50
Indi; Thu Mar 27 10:52:14 GMT 2014; 51.5269 N  0.1054 W; City Law School; INTENDING; 26; RED; 23; 50
Indi; Thu Mar 27 10:52:14 GMT 2014; 51.5269 N  0.1054 W; City Law School; NEHRU; 25; BLUE; 33; 50
Indi; Mon Mar 31 21:11:10 GMT+01:00 2014; 51.5939 N  0.0975 W; Noel Park; DOWNHILLS; 41; CYAN; 2; 50
Indi; Mon Mar 31 21:11:10 GMT+01:00 2014; 51.5939 N  0.0975 W; Noel Park; ARTIZANS; 29; CYAN; 8; 50
Indi; Mon Mar 31 21:12:45 GMT+01:00 2014; 51.5936 N  0.0980 W; Noel Park; ARTIZANS; 28; GREEN; 10; 50
Indi; Mon Mar 31 21:12:45 GMT+01:00 2014; 51.5936 N  0.0980 W; Noel Park; NOEL; 42; GREEN; 2; 50
Indi; Mon Mar 31 21:15:28 GMT+01:00 2014; 51.5928 N  0.0994 W; Turnpike Lane tube station; COCKFOSTERS; 25; RED; 31; 52
Indi; Mon Mar 31 21:15:28 GMT+01:00 2014; 51.5928 N  0.0994 W; Turnpike Lane tube station; SHOPPING; 26; BLACK; 22; 52
Indi; Mon Mar 31 21:17:21 GMT+01:00 2014; 51.5920 N  0.1010 W; Turnpike Lane tube station; COMMUNITY; 25; BLACK; 32; 50
Indi; Mon Mar 31 21:21:10 GMT+01:00 2014; 51.5905 N  0.1030 W; Turnpike Lane tube station; DUCKETTS; 36; BLUE; 4; 50
Indi; Mon Mar 31 21:24:02 GMT+01:00 2014; 51.5914 N  0.1047 W; Turnpike Lane tube station; GATES; 30; CYAN; 13; 50
Indi; Tue Apr 01 00:12:13 GMT+01:00 2014; 51.5091 N  0.1357 W; Simpsons of Piccadilly; CHATHAM; 26; BLUE; 26; 50
Indi; Tue Apr 01 00:16:15 GMT+01:00 2014; 51.5100 N  0.1349 W; Swan & Edgar; LIFEBOAT; 26; GREEN; 22; 50
Indi; Tue Apr 01 00:26:04 GMT+01:00 2014; 51.5105 N  0.1305 W; Leverian collection; RADIO; 54; BLUE; 1; 50
Indi; Tue Apr 01 00:28:06 GMT+01:00 2014; 51.5107 N  0.1300 W; Empire, Leicester Square; RADIO; 54; BLUE; 1; 50
Indi; Tue Apr 01 00:28:06 GMT+01:00 2014; 51.5107 N  0.1300 W; Empire, Leicester Square; ALHAMBRA; 24; BLUE; 40; 50
Indi; Tue Apr 01 00:32:15 GMT+01:00 2014; 51.5106 N  0.1295 W; Odeon Leicester Square; WYLD; 42; MAGENTA; 5; 50
Indi; Tue Apr 01 00:44:14 GMT+01:00 2014; 51.5129 N  0.1288 W; St Mary's Church, Charing Cross Road; RESTAURANT; 40; MAGENTA; 6; 50
Indi; Tue Apr 01 01:03:36 GMT+01:00 2014; 51.5169 N  0.1303 W; High Commission of Barbados, London; COMMISSION; 36; RED; 10; 50
Indi; Tue Apr 01 01:03:36 GMT+01:00 2014; 51.5169 N  0.1303 W; High Commission of Barbados, London; NAG; 61; RED; 1; 50
Indi; Tue Apr 01 01:09:59 GMT+01:00 2014; 51.5209 N  0.1345 W; Goodge Street tube station; POLLOCK; 26; BLUE; 20; 50
Indi; Tue Apr 01 01:10:54 GMT+01:00 2014; 51.5226 N  0.1365 W; Hospital for Tropical Diseases; JPG; 24; RED; 37; 51
Indi; Tue Apr 01 01:10:54 GMT+01:00 2014; 51.5226 N  0.1365 W; Hospital for Tropical Diseases; UNIVERSITY; 38; RED; 1; 50
Indi; Tue Apr 01 01:10:54 GMT+01:00 2014; 51.5226 N  0.1365 W; Hospital for Tropical Diseases; QUAGGA; 25; BLUE; 24; 50
